title,label,label_score
masuk radar pilwalkot medan menantu jokowi bertemu dpw nasdem sumut,non-clickbait,0
malaysia sudutkan ri isu kabut asap hingga invasi babi,non-clickbait,0
viral  driver ojol di bekasi antar pesanan makanan pakai sepeda,clickbait,1
kemensos salurkan rp 73 m bagi korban kerusuhan sosial di papua,non-clickbait,0
mpr amandemen uud 1945 tak akan melebar ke mana mana,non-clickbait,0
peringati tahun baru islam banyuwangi kembali gelar festival muharam,non-clickbait,0
wanita asal kendari nyaris diperkosa di jalanan makassar pelaku diburu,non-clickbait,0
hnw sebut gbhn jamin rencana pembangunan ri jangka panjang,non-clickbait,0
ada motor nyangkut di atas bambu di sleman kok bisa ,clickbait,1
jakpro jawab protes adhi karya soal tender proyek jis diberi ke wika,non-clickbait,0
pesan gamblang poyuono menolak revisi uu kpk,clickbait,1
lokasi istana presiden ri di papua 15 menit lewat jembatan holtekamp,non-clickbait,0
hiasan taman asia afrika di bandung rusak diterjang angin kencang,non-clickbait,0
polemik pb djarum dan kpai fadli zon mestinya bisa dimusyawarahkan,non-clickbait,0
pengacara ajukan penangguhan penahanan kivlan zen,non-clickbait,0
eksepsi bassist boomerang hubert henry dalam kasus ganja ditolak hakim,non-clickbait,0
jenguk bj habibie di rspad kepala bppt beliau semangat recovery,non-clickbait,0
jk jenguk habibie di rspad gatot soebroto,non-clickbait,0
sebuah mobil tertimpa pohon di pondok indah pengemudi terluka,non-clickbait,0
demokrat akan bangun museum dan art gallery sby ani di pacitan,non-clickbait,0
mendagri jamin pelaksanaan uu otsus di papua dilanjutkan,non-clickbait,0
tegaskan dukung pemerintah pd kami tak pernah kenal oposisi,non-clickbait,0
peredaran snack tanpa izin dibongkar omzet sebulan capai rp 15 miliar,non-clickbait,0
mayat pria ditemukan di kalimalang bekasi diduga korban tenggelam,non-clickbait,0
pesan anak habibie ke penjenguk mohon dimengerti bapak perlu istirahat,non-clickbait,0
kpk curhat pencegahan korupsi tak dianggap banyak uang negara diselamatkan,non-clickbait,0
act inisiasi gerakan nasional indonesiadermawan,non-clickbait,0
demokrat dukung langkah jokowi bangun istana di papua,non-clickbait,0
menkum ham sudah kaji draf revisi uu kpk,non-clickbait,0
mpr gelar diskusi evaluasi pelaksanaan uud di yogyakarta,non-clickbait,0
kocak  maling di rumah mewah jakut terekam cctv bingung cari jalan kabur,clickbait,1
kpk tanggapi dpr penegakan hukum tak boleh terikat komitmen politik,non-clickbait,0
pengacara sebut dakwaan kivlan zen dipaksakan,non-clickbait,0
polisi belanda tembak mati istri dan 2 putrinya lalu bunuh diri,non-clickbait,0
6 perampok bersebo tembak warga hingga tewas di sumsel,non-clickbait,0
tepis jadi penyebab tunggal kabut asap ri akan surati malaysia,non-clickbait,0
jokowi diminta mekarkan wilayah papua jk ada undang undangnya,non-clickbait,0
viral video diduga baku tembak di sleman ini kata polisi,clickbait,1
kadis pu dan 2 pns kabupaten mandailing natal ditahan kejati sumut,non-clickbait,0
banding ditolak hak politik eks bupati katingan dicabut hakim,non-clickbait,0
kecelakaan beruntun 4 kendaraan di lenteng agung 2 pemotor luka luka,non-clickbait,0
kpk bongkar mafia migas transaksi lintas negara tak mudah diungkap,non-clickbait,0
diawasi di hong kong aktivis joshua wong terbang ke berlin,non-clickbait,0
anggota dprd surabaya gadaikan sk sebagai jaminan untuk potong gaji,non-clickbait,0
ical jenguk bj habibie di rspad kita doakan yang terbaik,non-clickbait,0
175 orang dan 4 korporasi jadi tersangka karhutla di sumatera kalimantan,non-clickbait,0
fenomena gadai sk anggota dewan juga terjadi di dprd serang,non-clickbait,0
akademisi dan mahasiswa unair tolak revisi uu kpk,non-clickbait,0
pegawai kpk surati fraksi di dpr minta tak pilih capim yang lemahkan kpk,non-clickbait,0
waspada  ada penipuan catut pertamina korbannya rugi puluhan juta,clickbait,1
ekoturisme pelajaran besar dari negara kecil,non-clickbait,0
refleksi 5 tahun dpd ri oso kami ada untuk daerah,non-clickbait,0
mui riau pelaku karhutla orang tak taat beragama,non-clickbait,0
penyelundupan 19253 benih lobster tujuan singapura digagalkan di makassar,non-clickbait,0
kecelakaan beruntun dan truk terbakar di cipularang 2 orang luka,non-clickbait,0
banyak berita negatif hnw khawatirkan moral bangsa indonesia,non-clickbait,0
kpk harap jeratan eks dirut petral bisa buka kotak pandora mafia migas,non-clickbait,0
hamas tembak jatuh drone israel di jalur gaza,non-clickbait,0
jpu keberatan kivlan zen didampingi kuasa hukum dari militer,non-clickbait,0
jaksa beberkan senpi peluru tajam pembelian kivlan zen cs ini rinciannya,clickbait,1
dishub minta polda data kebutuhan e tle di area perluasan ganjil genap,non-clickbait,0
polisi olah tkp kecelakaan maut tewaskan 3 orang di nganjuk,non-clickbait,0
uang miliaran rupiah milik pemprov sumut hilang polisi turun tangan,non-clickbait,0
menkum ham soal cabut paspor veronica koman ada ketentuannya,non-clickbait,0
sering quality time bersama keluarga  ternyata ini 3 manfaatnya ,clickbait,1
menteri jokowi 55 profesional ini kandidatnya ,clickbait,1
lipi desak jokowi tolak revisi uu kpk yang lumpuhkan kinerja kpk,non-clickbait,0
kasus penyerangan ditutup pemotor naik trotoar tetap ditilang,non-clickbait,0
bareskrim tangkap 2 pembobol yang rugikan bank bumn rp 16 miliar,non-clickbait,0
datang ke pembekalan caleg terpilih demokrat sby beri arahan tertutup,non-clickbait,0
aktivis perempuan nilai ruu pks tersandera oleh ruu kuhp,non-clickbait,0
belum teridentifikasi 4 korban kecelakaan cipularang diduga perempuan,non-clickbait,0
